cod,desc,cant,estante,nivel,costo_unitario
3912,"Carpeta c/herraje de argolla 3/4"" carta kraft",1,,,
3913,"Carpeta c/herraje de argolla 1"" carta kraft",4,,,
3914,"Carpeta c/herraje de argolla 2"" carta kraft", -   ,,,
3915,"Carpeta c/herraje de argolla 3"" carta kraft", -   ,,,
3916,Folder carta kraft ,47,,,
3917,Folder oficio kraft ,90,,,
3919,CARPETA T/REGISTRADOR OFICIO C/HERRAJE METAL KRAFT ECO-019,2,,,
3922,Dispenser unipecos kraft,24,,,
3924,Lapicero con divisiones kraft,4,,,
3925,Portatarjetas kraft, -   ,,,
3926,Sobre tipo bolsa carta kraft ,241,,,
3927,Sobre tipo bolsa oficio kraft ,4,,,
3932,Libreta forma francesa kraft,2,,,
3933,Libreta 1/4 de carta kraft,5,,,
3934,PLUMA ECOLOGICA BIODEGRADABLE DE MAIZ TRASLUCIDA ECO-135,3,,,
3935,Pluma ecológia de papel reciclado kraft , -   ,,,
3941,Archiva carta ecológia 29 ect,10,,,
3942,Archiva oficio ecológia 29 ect,1,,,
3943,Reviarchivo grande ecologico 29 ect,27,,,
3944,Archiva gob 1 ecológia, -   ,,,
3945,Portaretrato kraft,2,,,
3946,Sobre tipo bolsa kraft 1/2 carta ,101,,,
4002,Polipack 1/8 x 105,416,,,
4004,Burbuja de aire chica 3/16 (120 mts),124,,,
4005,Burbuja de aire gde 1/2 (60 mts),218.3,,,
4101,Bolsa de biofill,14,,,
4201,Cartón corrug kraft single face 2.00 xmts,83.04,,,
4200,Cartón corrug kraft single face 2.00xkg, -   ,,,
4202,Cartón microcorrugado kraft single face,145.5,,,
4203,Microcorrugado color, -   ,,,
4207,Lamina de corrugado 29 ect, -   ,,,
4208,Lamina de corrugado 29 ect,30,,,
4209,Lamina doble corrugado,9,,,
4211B,Lamina micro bond .80x1.60,10,,,
4211K,Lamina micro kraft .80x1.60,11,,,
4212B,Lámina micro bond 60x90,17,,,
4212K,Lámina micro kraft 60x90,7,,,
4213,Lámina caple,17,,,
4214,Lamina de Plástico blanca med.1.22x1.22, -   ,,,
4215,Lamina de Plástico negra med.1.40x1.22,1,,,
4217,Separador p/12 botellas 29 ect,9,,,
4223,Cartón corrug kraft single face 1.60xmts, -   ,,,
4224,Cartón corrug kraft single face 1.60xkg, -   ,,,
4226,LAMINA CORRUGADO 2X2.10 16 KG,3,,,
4301,Rollo papelkraft (precio x kilo),103.9,,,
4302,Rollo papelkraft(precio x kilo), -   ,,,
4303,Rollo papelkraft(precio x kilo),26,,,
4304,Rollo papelkraft(precio x kilo),25,,,
4305,Papelkraft 1.25 x metro (180 mts aprox), -   ,,,
4401C,Cinta plastica chica 48x50 canela,11,,,
4401T,Cinta plastica chica 48x50 transparente,23,,,
4402C,Cinta plastica mediana 48x100 canela,25,,,
4402T,Cinta plastica mediana 48x100 transparente,19,,,
4403C,Cinta plastica gde. 48x150 canela,39,,,
4403T,Cinta plastica gde. 48x150 transparente,8,,,
4404,"Despachador de cinta 2""", -   ,,,
4405,"Engomado 3""",8,,,
4406,"Engomado 2.5""",8,,,
4407,"Engomado 2""",11,,,
4408,"Engomado 1""",4,,,
4412,Cinta impresa fragil ,5,,,
4502,Bolsa con sellos de 1/2(500aprox),3,,,
4503,Flejadora,1,,,
4504,Pinzas para flejar,1,,,
4507,Fleje 1/2 negro precio x kilo,29.6,,,
4601,Cutter grande ,14,,,
4603,Cutter chico,19,,,
4604,Marcador de aceite,8,,,
4605,Silicato de sodio galón,1,,,
4606,Bola rafia 1 kg aprox,7,,,
4609,Rollo de blister 18¨x1200 pies,8,,,
4612A,Etiqueta arriba,217,,,
4612C,Etiqueta copa,130,,,
4612F,Etiqueta fragil,240,,,
4612HM,Etiqueta hecho en mexico,147,,,
4612P,Etiqueta paraguas, -   ,,,
4613,Esquineros,83,,,
4615,Bola papel arroz , -   ,,,
4618,Etiqueta remitente-destinatario (jgo),120,,,
4619,Cinta masking tape ,2,,,
4620,Cinta masking tape ,4,,,
4625,"Blister 5"" x 1500 pies calibre 80",8,,,
4702,Le e7 estantera ,13,,,
4703,Le e6 estantera , -   ,,,
4704,Le e5 estantera ,48,,,
4705,Le e4 estantera ,19,,,
4706,Le e3 estantera ,12,,,
4707,Le e2 estantera ,20,,,
4708,Le e01 estantera ,14,,,
4709,Le e3 estantera económica , -   ,,,
4710,Ordenador de cajones ,23,,,
4801,Cz 06 seis pares ,15,,,
4802,Cz 12 doce pares ,13,,,
4803,Cz 18 diesciocho pares ,39,,,
4804,Cz 24 veinticuatro pares ,30,,,
4805,Cz 36 treinta y seis pares ,32,,,
4806,Cz 48 cuarenta y ocho pares ,26,,,
4807,Caja bota grande ,26,,,
4808,Caja bota chica ,10,,,
4809,CZ 46 CUARENTA Y SEIS PARES,30,,,
4810,Caja zapato gde micro,16,,,
4811,Caja zapato chica micro,28,,,
4900,Cr 98 caja regular dc,2,,,
4901,Cr 90 caja regular,6,,,
4902,Cr 85 caja regular,4,,,
4902SG,Cr 85 caja regular sg,7,,,
4903,Cr 80caja regular,16,,,
4904,Cr 70 caja regular,21,,,
4904SG,Cr 70 caja regular sg,51,,,
4905,Cr 60 caja regular, -   ,,,
4905SG,Cr 60 caja regular sg,41,,,
4906,Cr 50 caja regular,5,,,
4906SG,Cr 50 caja regular sg ,10,,,
4907,Cr 75dc caja regular,12,,,
4908,Cr 45 caja regular, -   ,,,
4908SG,Cr 45 caja regular sg,3,,,
4909,Cr 40 caja regular,10,,,
4909SG,Cr 40 caja regular sg,24,,,
4910,Cr 30 caja regular,25,,,
4910SG,Cr 30 caja regular sg,37,,,
4911,Cr 30n caja reg navideña ,27,,,
4912,Cr 20 caja regular, -   ,,,
4912SG,Cr 20 caja regular sg,1,,,
4913,Cr 15 caja regular,120,,,
4914,Cr 10 caja regular,29,,,
4914SG,Cr 10 caja regular sg,76,,,
4915,Cr 03 caja regular,63,,,
4916,Cr 01 caja regular,48,,,
4917,Cr 02 caja regular,49,,,
4918,Cr 75 caja regular,39,,,
4919,Cr 05 caja regular,90,,,
4920,Cr 08 caja regular,41,,,
4921,Cr 04 caja regular,104,,,
4922,Cr cubo caja regular,5,,,
4923,Cr 50 dc caja regular,11,,,
4924,Cr 09 caja regular,25,,,
4925,Cr 25 caja regular, -   ,,,
4925SG,Cr 25 caja regular sg,21,,,
4926,Cr 35 caja regular,24,,,
4927,Gobierno chico caja regular,26,,,
4928,Gobierno grande caja regular,32,,,
4929,Gobierno super caja regular,35,,,
4930,Serfin caja regular,32,,,
4930SG,Serfin caja regular, -   ,,,
4931,Pastelera kraft econ caja regular,23,,,
4932,Cr 63 caja regular,11,,,
4934,Cr 85 dc ccaja regular,6,,,
4935,Gobierno chico navideña caja regular, -   ,,,
4936,Cr-12 caja regular  ,1,,,
5003,Cr 57 caja regular,16,,,
5015,CAJA ANGELITO CHICA,15,,,
5020,Caja para corona ,17,,,
5021,Caja para arbol de navidad,3,,,
5023,Caja para corona ,13,,,
5101,Er 00   caja regalo ,431,,,
5102,Er 01   caja regalo ,124,,,
5103,Er 02   caja regalo ,212,,,
5104,Er 03   caja regalo ,235,,,
5105,Er 04   caja regalo ,254,,,
5106,Er 04e caja regalo ,194,,,
5108,Er 05 caja regalo ,177,,,
5109,Er 05v caja regalo c/ ventana ,211,,,
5110,Er 06   caja regalo ,464,,,
5111,Er 06 happy birthday,6,,,
5111B,Er 06 besos,3,,,
5111L,Er 06 love,16,,,
5112A,Er 06 bebe azul,6,,,
5112JR,Er-06 niña jirafa,17,,,
5112JV,Er-06 niño jirafa,17,,,
5112O,Er-06 oso bebe new baby,20,,,
5112OV,ER-06 BEBE OSO VERDE,23,,,
5112R,Er 06 bebe rosa,18,,,
5113,Er 6v caja regalo c/ventana ,22,,,
5114A,Er 06 azul, -   ,,,
5114R,Er 06 rojo, -   ,,,
5114V,Er 06 verde,10,,,
5115,Er 07   caja regalo ,109,,,
5116,Er 08   caja regalo ,160,,,
5117,Er 09   caja regalo ,303,,,
5118A,Er-09 azul,174,,,
5118D,Er-09 dorado,143,,,
5118P,Er-09 plata,157,,,
5118R,Er-09 rojo,188,,,
5118V,Er-09 verde,54,,,
5119,Er 10   caja regalo ,78,,,
5120,Er 11   caja regalo ,13,,,
5121A,Er 11 color azul, -   ,,,
5121R,Er-11 color rojo, -   ,,,
5121V,Er 11 color verde, -   ,,,
5122,Er 11e  caja regalo ,34,,,
5122EA,Er-11e elefante azul,19,,,
5122ER,Er-11e elefante rosa,19,,,
5123,Er 12    caja regalo ,321,,,
5124,Er 13    caja regalo ,50,,,
5125A,Er 13 color azul,18,,,
5125R,Er 13 color rojo , -   ,,,
5125V,Er 13 color verde, -   ,,,
5126,Er 14      caja regalo   ,230,,,
5127,Er 14v    caja regalo c/ventana  ,147,,,
5128,Er 15      caja regalo ,54,,,
5129A,Er 15 azul, -   ,,,
5129R,Er 15 rojo, -   ,,,
5129V,Er 15 verde, -   ,,,
5130,Er 16      caja regalo,254,,,
5131,Er 17      caja regalo ,157,,,
5132,Er 18      caja regalo ,37,,,
5133,Caja joyeria especial, -   ,,,
5134AF,Joyeria especial color azul fuerte,130,,,
5134CH,JOYERIA ESPECIAL COLOR CHOCOLATE,31,,,
5134D,Joyeria especial color dorado,214,,,
5134P,Joyeria especial color plata,166,,,
5134R,Joyeria especial color rojo ,199,,,
5134V,Joyeria especial color verde,274,,,
5135AC,Caja bolitos azul cielo,154,,,
5135AF,Caja bolitos azul fuerte,121,,,
5135AM,Caja bolitos amarillo,44,,,
5135AZT,Caja bolitos azul turquesa,163,,,
5135BCO,Caja bolitos blanco,223,,,
5135BGE,Caja bolitos beige,164,,,
5135CH,Caja bolitos color chocolate,81,,,
5135D,Caja bolitos dorado,20,,,
5135K,Caja bolitos kraft,231,,,
5135L,Caja bolitos lila, -   ,,,
5135M,Caja bolitos morado,73,,,
5135N,Caja bolitos negro,50,,,
5135P,Caja bolitos plata,170,,,
5135R,Caja bolitos rojo,110,,,
5135RF,Caja bolitos rosa fiusha,90,,,
5135RP,Caja bolitos rosa pastel, -   ,,,
5135T,Caja bolitos tiffany, -   ,,,
5135V,Caja bolitos verde ,83,,,
5136,Er 19     caja regalo ,182,,,
5137,Caja para reloj ,176,,,
5138,Caja joyeria ,563,,,
D5139AC,Caja muñeca grande azul claro,22,,,
5139AM,Caja muñeca grande amarilla,64,,,
5139AR,Caja muñeca grande azul rey,22,,,
5139L,Caja muñeca grande lila,10,,,
5139N,Caja muñeca grandenaranja,26,,,
5139RF,Caja muñeca grande rosa fiusha,32,,,
