cod,desc,cant,estante,nivel,costo_unitario
5902,CAJA SINGLE No. 6,0,,,
5903,CAJA SINGLE No. 13,6,,,
5904,PASTELERA MEDIANA SINGLE,36,,,
5905,ALMOHADA GRANDE SINGLE,20,,,
5906,COFRE MINI SINGLE,,,,
5907,COFRE MEDIANO SINGLE,38,,,
5908,COFRE GRANDE SINGLE,46,,,
5909,LONCHERA CHICA SINGLE,67,,,
5910,CAJA P/BOTELLA SINGLE,17,,,
5911,BOLSA SINGLE CHICA,16,,,
5912,BOLSA SINGLE MINI C/ASA,,,,
5913,CUBO SINGLE,15,,,
5914,SOBRE SINGLE T/CARTA,32,,,
5916,BOLO SINGLE TIPO ALCANCIA,1,,,
5917,BOLSA SINGLE MEDIANA,41,,,
5918,BOLSA SINGLE GRANDE,38,,,
5920,ALMOHADA MINI SINGLE,0,,,
5921,CAJA PARA CD SINGLE,56,,,
5922,CAJA SINGLE No.11,9,,,
5923,CAJA SINGLE No.15,28,,,
5924,LONCHERA MEDIANA SINGLE,44,,,
5926,BOLSA MEDIANA C/ASA SINGLE,89,,,
5929,CUBO SORPRESA SINGLE,2,,,
5930,ALMOHADA CHICA SINGLE,66,,,
5931,CENTRO DE MESA SINGLE MEDIANO,130,,,
5932,CENTRO DE MESA SINGLE GRANDE,0,,,
5933,CENTRO DE MESA SINGLE MINI,,,,
5934,COFRE CORRUGADO,,,,
5935,DULCERO GRANDE SINGLE,26,,,
5936,DULCERO CHICA SINGLE,18,,,
5937,CENTRO DE MESA PLANO GRANDE SINGLE,38,,,
5938,CENTRO DE MESA PLANO CHICO SINGLE,28,,,
5939,COFRE CORRUGADO JUMBO,0,,,
5940,CUBO SINGLE HO,58,,,
5941,ALMOHADA JUMBO SINGLE,,,,
6001,CAJA JOYER�A # 32,,,,
6002,CAJA PULSERA # 33,,,,
6003,CAJA DORADA Y PLATEADA,,,,
6004,CAJA DECORADA,,,,
6005,CAJA RELOJ # 82,,,,
6006,CAJA COLLAR # 75,,,,
6007,PAPEL DIPACK DISNEY,83,,,
6008,PAPEL REGALO COUCHE,,,,
6009,PAPEL REGALO KRAFT,,,,
6010,PAPEL DE CHINA,259,,,
6011,MO�O MAGICO MEDIANO,52,,,
6012,MO�O MAGICO CHICO,139,,,
6013,MO�O MAGICO GDE,0,,,
6014,CINTA CELOFAN TRANSPARENTE,,,,
6015,CINTA DIUREX,21,,,
6019,PAPEL DE CHINA PICADO,475,,,
6020,MO�O CHICO DECORADO,5,,,
6021,MO�O MEDIANO DECORADO,,,,
6022,CILINDRO CHICO  DE ACETATO,,,,
6024,MO�O GRANDE DECORADO,,,,
6027,DULCERO CHICO DECORADO SINGLE,0,,,
