cod,desc,cant,,,
4404,"DESPACHADOR DE CINTA 2""",3,,,
4405,"ENGOMADO 3""",5,,,
4406,"ENGOMADO 2.5""",5,,,
4407,"ENGOMADO 2""",5,,,
4408,"ENGOMADO 1""",5,,,
4412,CINTA IMPRESA FRAGIL ,5,,,
4502,BOLSA CON SELLOS DE 1/2(500APROX),2,,,
4503,FLEJADORA,2,,,
4504,PINZAS PARA FLEJAR,2,,,
4507,FLEJE 1/2 NEGRO PRECIO X KILO,20.8,,,
4601,CUTTER GRANDE ,10,,,
4603,CUTTER CHICO,10,,,
4604,MARCADOR DE ACEITE,10,,,
4605,SILICATO DE SODIO GALÓN,2,,,
4606,BOLA RAFIA 1 KG APROX,4,,,
4609,ROLLO DE BLISTER 18¨X1200 PIES,3,,,
4612A,ETIQUETA ARRIBA,0,,,
4612C,ETIQUETA COPA,0,,,
4612F,ETIQUETA FRAGIL,0,,,
4612HM,ETIQUETA HECHO EN MEXICO,0,,,
4612P,ETIQUETA PARAGUAS,0,,,
4613,ESQUINEROS,25,,,
4615,BOLA PAPEL ARROZ ,1,,,
4618,ETIQUETA REMITENTE-DESTINATARIO (JGO),0,,,
4619,CINTA MASKING TAPE ,0,,,
4620,CINTA MASKING TAPE ,6,,,
4625,"BLISTER 5"" X 1500 PIES CALIBRE 80",4,,,
4702,LE E7 ESTANTERA 44 ECT ,10,,,
4703,LE E6 ESTANTERA 44 ECT,10,,,
4704,LE E5 ESTANTERA 44 ECT,10,,,
4705,LE E4 ESTANTERA 44 ECT,10,,,
4706,LE E3 ESTANTERA 44 ECT,15,,,
4707,LE E2 ESTANTERA 44 ECT,15,,,
4708,LE E01 ESTANTERA 44 ECT,15,,,
4709,LE E3 ESTANTERA ECONÓMICA 29 ECT,10,,,
4710,ORDENADOR DE CAJONES 44 ECT,15,,,
4801,CZ 06 SEIS PARES 23 ECT,15,,,
4802,CZ 12 DOCE PARES 23 ECT,15,,,
4803,CZ 18 DIESCIOCHO PARES 23 ECT,15,,,
4804,CZ 24 VEINTICUATRO PARES 23 ECT,15,,,
4805,CZ 36 TREINTA Y SEIS PARES 23 ECT,15,,,
4806,CZ 48 CUARENTA Y OCHO PARES 23 ECT,15,,,
4807,CAJA BOTA GRANDE 29 ECT,25,,,
4808,CAJA BOTA CHICA 29 ECT,25,,,
4810,CAJA ZAPATO GDE MICRO,25,,,
4811,CAJA ZAPATO CHICA MICRO,25,,,
4900,CR 98 CAJA REG DC,10,,,
4901,CR 90 CAJA REG 40 ECT,10,,,
4902,CR 85 CAJA REG 32 ECT,15,,,
4902SG,CR 85 CAJA REG SG,15,,,
4903,CR 80CAJA REG 29 ECT,15,,,
4904,CR 70 CAJA REG  29 ECT,15,,,
4904SG,CR 70 CAJA REG SG,15,,,
4905SG,CR 60 CAJA REG SG,15,,,
4906,CR 50 CAJA REG 29 ECT,15,,,
4906SG,CR 50 CAJA REG SG ,15,,,
4907,CR 75DC CAJA REG 42 ECT,10,,,
4908,CR 45 CAJA REG 29 ECT,15,,,
4908SG,CR 45 CAJA REG SG,15,,,
4909,CR 40 CAJA REG 29 ECT,15,,,
4909SG,CR 40 CAJA REG SG,15,,,
4910,CR 30 CAJA REG 26ECT,25,,,
4910SG,CR 30 CAJA REG SG,25,,,
4911,CR 30N CAJA REG NAVIDEÑA 26 ECT,10,,,
4912,CR 20 CAJA REG 26 ECT,25,,,
4912SG,CR 20 CAJA REG SG,25,,,
4913,CR 15 CAJA REG 26 ECT,25,,,
4914,CR 10 CAJA REG 26 ECT,25,,,
4914SG,CR 10 CAJA REG SG,25,,,
4915,CR 03 CAJA REG 26 ECT,25,,,
4916,CR 01 CAJA REG 26 ECT,25,,,
4917,CR 02 CAJA REG 26 ECT,0,,,
4918,CR 75 CAJA REG 32 ECT,10,,,
4919,CR 05 CAJA REG 26 ECT,25,,,
4920,CR 08 CAJA REG 26 ECT,25,,,
4921,CR 04 CAJA REG 26 ECT,25,,,
4922,CR CUBO CAJA REG  29 ECT,10,,,
4923,CR 50 DC CAJA REG 42 ECT,10,,,
4924,CR 09 CAJA REG 26 ECT,25,,,
4925,CR 25 CAJA REG 26 ECT,15,,,
4925SG,CR 25 CAJA REG SG,15,,,
4926,CR 35 CAJA REG 26 ECT,15,,,
4927,GOBIERNO CHICO 26 ECT,25,,,
4928,GOBIERNO GRANDE 29 ECT,25,,,
4929,GOBIERNO SUPER 29 ECT,15,,,
4930,SERFIN 29 ECT,15,,,
4930SG,SERFIN SG,15,,,
4931,PASTELERA KRAFT ECO. 29 ECT,25,,,
4932,CR 63 CAJA REG 29ECT,15,,,
4934,CR 85 DC 42 ECT,10,,,
4935,GOBIERNO CHICO NAVIDEÑA 26 ECT,0,,,
4936,CR-12 CAJA REGULAR  29 ECT,25,,,
5003,CR 57 CAJA REG 23 ECT,10,,,
5020,CAJA PARA CORONA 29 ECT,10,,,
5021,CAJA PARA ÁRBOL DE NAVIDAD 29 ECT,0,,,
5023,CAJA P/CORONA  29 ECT,10,,,
5101,ER 00   CAJA REGALO 14  PTS.,100,,,
5102,ER 01   CAJA REGALO 14  PTS.,100,,,
5103,ER 02   CAJA REGALO 14  PTS.,100,,,
5104,ER 03   CAJA REGALO 14  PTS.,100,,,
5105,ER 04   CAJA REGALO 14  PTS.,100,,,
5106,ER 04E CAJA REGALO 14 PTS.,100,,,
5108,ER 05 CAJA REGALO 14 PTS.,100,,,
5109,ER 05V CAJA REGALO C/ VENTANA 14 PTS.,100,,,
5110,ER 06   CAJA REGALO 14 PTS.,100,,,
5111,ER 06 HAPPY BIRTHDAY,25,,,
5111B,ER 06 BESOS,25,,,
5111L,ER 06 LOVE,25,,,
5112A,ER 06 BEBE AZUL,25,,,
5112JR,ER-06 NIÑA JIRAFA,25,,,
5112JV,ER-06 NIÑO JIRAFA,25,,,
5112O,ER-06 OSO BEBE NEW BABY,25,,,
5112R,ER 06 BEBE ROSA,25,,,
5113,ER 6V   CAJA REGALO C/VENTANA 14 PTS.,100,,,
5114A,ER 06 AZUL,25,,,
5114R,ER 06 ROJO,25,,,
5114V,ER 06 VERDE,25,,,
5115,ER 07   CAJA REGALO 14 PTS.,100,,,
5116,ER 08   CAJA REGALO 14 PTS.,100,,,
5117,ER 09   CAJA REGALO 14 PTS.,100,,,
5118A,ER-09 AZUL,50,,,
5118D,ER-09 DORADO,50,,,
5118P,ER-09 PLATA,50,,,
5118R,ER-09 ROJO,50,,,
