cod,desc,cant,estante,nivel,costo_unitario
5131,er 17      caja regalo 14 pts. 17x10x9,,,,
5132,er 18      caja regalo 14 pts. 49x32x12,,,,
5133,caja joyeria especial 7x5.5x3,,,,
5134,caja joyeria especial color    7x5.5x3,,,,
5135,caja bolitos   4x4x4,,,,
5136,er 19     caja regalo 14 pts  32x30x8,,,,
5137,caja para reloj  14 pts. 22x5x3,,,,
5138,caja joyeria  5x3.5x1.5,,,,
5139,caja muñeca grande color 32x18x15,,,,
5140,caja muñeca chica color 11x11x11,,,,
5141,caja muñeca med. color 15x18x11,,,,
5142,caja camioncito 18.5x7.5x10,,,,
5143,caja muñeca mini esp color 9x9x9,,,,
5144,alcancia tortuga y puerquito 10x10x13,,,,
5145,caja pingüino  10x7x15,,,,
5147,caja para palomita mini kraft 7x7x13,,,,
5148,caja p/tarjeta presentación blanca 9.5x5.5x3,,,,
5149,cubo mini color  7.5x7.5x5,,,,
5150,lonchera rayas y zebra 16x8.5x10,,,,
5151,caja para cd caple 15x13x2.5,,,,
5153,caja p/perfume 5.5x6x11,,,,
5154,caja palomitas chica blanca 7.5x7.5x19,,,,
5155,er 13b   caja regalo bebe   36x23x5.5,,,,
5156,casita caple blanca 13x11x8,,,,
5159,caja para corbata 33x10x3.5,,,,
5161,cubo mini caple kraft 7.5x7.5x5,,,,
5162,hexagono caple kraft 6x9,,,,
5163,funda cd caple kraft 12.5x12.5,,,,
5164,almohada mini caple kraft 8x7x2.5,,,,
5165,caja caple kraft tapa integrada 12.5x11x4.5,,,,
5166,dulcera chica caple kraft 10.5x8.5x7,,,,
5167,muñeca micro caple kraft 7x7x5.5,,,,
5168,caja sorpresa caple kraft 5x4x6,,,,
5169,almohada mediana caple kraft 16x15x4,,,,
5175,caja muñeca mini 14 feb 9x9x9,,,,
5176,caja muñeca ch 14 feb 11x11x11,,,,
5177,caja muñeca med 14 feb 15x18x11,,,,
5178,caja muñeca gde 14 feb 32x18x15,,,,
5180,bolsa europa 14 feb chica 21.5x10.5x28,,,,
5181,bolsa europa 14 feb mediana 31x12x36,,,,
5182,bolsa europa 14 feb grande 40x13x46.5,,,,
5183,peluchera caple 14 feb chica 15x9.5x16.5,,,,
5184,peluchera caple 14 feb mediana 20x13x28,,,,
5185,peluchera caple 14 feb grande 29x19x38,,,,
5188,lonchera mini love 14x11x10,,,,
5191,caja para palomitas grande 14 feb 13x13x29,,,,
5192,caja para palomitas mediana 14 feb 10x10x20,,,,
5193,caja para palomitas chica 14 feb 7.5x7.5x19,,,,
5196,caja trenecito caple 16x11x14,,,,
5197,cubo turquesa  y rojo 15x15x15,,,,
5198,cubo chocolate  21x21x21,,,,
5201,bolsa chica sulfatada  9.5x9.5x12,,,,
5202,bolsa mediana sulfatada  18.5x11.5x16,,,,
5203,bolsa grande sulfatada  18.5x11.5x24,,,,
5204,bolsa sulfatada mini 6x3x9,,,,
5205,camion bombero 17x9x9,,,,
5209,hexagono sulfatado 6x9,,,,
5210,muñeca sulfatada 7x7x5.5,,,,
5253,almohada con agarradera papa ,,,,
5254,lonchera grande papa ,,,,
5255,er 06 mama caple kraft 25.5x20x6.5,,,,
5256,lonchera grande mama caple kraft ,,,,
5257,almohada con agarradera mama caple kraft ,,,,
5258,caja yours tipo sobre grande ,,,,
5259,dulcera ventana corazon roja y kraft ,,,,
5260,cubo contraencolado color liso 20x20x20,,,,
5261,cubo contraencolado color liso 30x30x30,,,,
5262,cubo contraencolado color liso 40x40x40,,,,
5263,cubo contraencolado color liso 9x9x9,,,,
5264,caja vizcaino baby girl 33x23.5x7.5,,,,
5265,caja vizcaino baby boy 33x23.5x7.5,,,,
5266,lonchera be mine 16x8.5x10,,,,
5267,cubo tu 8.5x8.5x8.5,,,,
5269,almohada corazon  26x24x6,,,,
5270,caja vizcaino dude 33x23.5x7.5,,,,
5271,caja vizcaino happy day 14 feb 33x23.5x7.5,,,,
5272,er 06 you & me 25.5x20x6.5,,,,
5273,caja multiusos true love 27x14.5x20.5,,,,
5274,caja vizcaino keep calm 33x23.5x7.5,,,,
5275,contenedor color 7.5x7.5x9,,,,
5276,caja vizcaino 14 de feb y happy birthday 33x23.5x7.5,,,,
5277,caja lunares con corazon 16x11x14,,,,
5278,caja tipo frack 7x2.5x11,,,,
5279,caja tipo vestido de novia 7x2.5x11,,,,
5280,bolsa franky 10x6x13,,,,
5281,caja i love you 30x15x6,,,,
5283,caja empaque corazon chica 26 ect 19x15x15,,,,
5284,caja empaque corazon mediana 26 ect 25x16x16,,,,
5285,caja empaque corazon grande 26 ect 30x15x20,,,,
5286,cubo surprice 21x21x21,,,,
5287,caja muñeca rayas 18x15.5x10,,,,
5288,caja happy day 13.5x13.5x28,,,,
5289,alcancia fantasma  10x10x13 ,,,,
5290,lonchera calabaza 16x9x10,,,,
5291,caja vizcaino love 33x23.5x7.5,,,,
5292,lonchera siempre tu 16x9x10,,,,
5293,caja yours tipo sobre  20x15x4,,,,
5294,caja corazon rojo y negro  19x5x5,,,,
5296,muñeca mini love 14x11x10,,,,
5297,cubo kraft corazon 8.5x8.5x8.5,,,,
5301,pastelera super 39x39x12,,,,
5302,pasteleragrande 33x33x12,,,,
5303,pastelera mediana 30x30x12,,,,
5304,pastelera chica  27x27x8,,,,
5305,pay chica alta 24x24x10,,,,
5306,pastelera chica alta 27x27x12,,,,
5307,charola don bosco 41x11x3.5,,,,
5308,caja tipo moka 40x14x12,,,,
5309,pastelera especial mini 20x20x10,,,,
5311,caja para papa grande 9x6x12,,,,
5312,caja para papa chica 7x4x9.8,,,,
5313,caja para pay (almohada) 13x9x3.5,,,,
5314,caja para hamburguesa 14x14x6.5,,,,
5315,charola para rebanada de pizza 17x19x2,,,,
5316,caja para rebanada de pizza 22.5x23.5x3.5,,,,
5317,caja para sandwich 12x10x10,,,,
5318,charola para hot dog 14.5x5.5x4,,,,
5319,cono para crepa 15.5x14,,,,
5320,caja para 4 cup cake con tambor c/vent 16x16x7,,,,
5321,caja para 9 cup cake con tambor c/vent 24x24x10,,,,
5322,caja para 6 cup cake con tambor c/vent 25x17x7.5,,,,
5323,caja para 12 cup cake con tambor c/vent 34x25x7,,,,
5324,caja para 1 cup cake con tambor c/vent 9x9x9,,,,
5325,caja para 2 cup cake con tambor c/vent 17x9.5x8,,,,
5326,caja para 1 cup cake color con tambor c/vent ,,,,
5402,lonchera mex box  kraft 29 ect 30x15x19,,,,
5403,lonchera super  20x12.3x20.5,,,,
5404,lonchera grande 21.5x13x14,,,,
5405,lonchera mediana 17x12x14,,,,
5406,lonchera chica  17.5x11x7.5,,,,
5407,lonchera grande kraft impresa 21.5x13x14,,,,
5408,lonchera con ventana de acetato 16x7.5x9,,,,
5410,dulcera grande  19.9x11x8.5,,,,
5411,dulcera chica  10.5x8.5x7,,,,
5412,dulcera lunares chica 11x9x7,,,,
5414,dulcera mediana felicidades 16x10x9.5,,,,
5495,caja bolito de acetato 5x5x5,,,,
5496,hexagono miniatura de acetato  ,,,,
5497,er 01 caja regalo 14  pts. con tapa de acetato 14.5x12.5x5,,,,
5498,er 03 caja regalo 14  pts. con tapa de acetato 20x14x5,,,,
5499,er 06 caja regalo 14  pts. con tapa de acetato 25.5x20x6.5,,,,
5501,disco chico p/pastel 25 cm ,,,,
5502,disco mediano p/pastel 28 cm ,,,,
5503,disco grande p/pastel 35 cm ,,,,
5504,base rosca  mediana 60x40,,,,
5505,base rosca chica 45x35,,,,
5506,base rosca grande 65x45,,,,
5507,caja rosca grande micro 67x45x8,,,,
5508,caja rosca mediana micro 58x46x6,,,,
5509,caja rosca chica micro 34x37x6,,,,
5510,caja rosca grande micro 60x45x8,,,,
5511,caja rosca mediana micro 45x36x8,,,,
5512,caja rosca chica micro 46x29.5x8,,,,
5601,caja jumbo micro 64x47x12,,,,
5602,caja vestido de novia 59x39x12,,,,
5603,caja para ramo de novia 56x30x22,,,,
5604,caja para ramo xv años 30x30x22,,,,
5605,caja para ramo xv años 26x26x22,,,,
5606,archialta 18.5x6.5x23.5,,,,
5607,archimini 20.5x6x14.5,,,,
5608,cubo micro blanco 10x10x10,,,,
5609,caja gis 15x11x8,,,,
5610,caja micro bond ho 9.5x8.5x12,,,,
5611,caja vela grande micro 29x6.3x8,,,,
5612,caja vela chica micro 27.5x6x8,,,,
5613,cubo rehilete 12x12x12,,,,
5614,caja crema gde.   micro kraft 18x12x11,,,,
5615,caja crema chica micro kraft 13x10x7,,,,
5619,cubo 20x20x20 kraft 20x20x20,,,,
5623,cubo micro kraft 30x30x30,,,,
5624,cubo micro kraft 40x40x40,,,,
5625,centro de mesa micro kraft grande 16x16x7,,,,
5626,bolsa micro kraft grande 15.5x11x17.5,,,,
5627,cubo micro kraft  9x9x9,,,,
5628,casita micro kraft 17.5x14.5x11,,,,
5629,vela mini micro bond 16x6x8,,,,
5630,caja doble gis  31x10x8,,,,
5631,bolsa micro kraft chica 11.5x7x13,,,,
5632,centro de mesa micro kraft chico 13x13x7.5,,,,
5634,ordenador de cajon corto 44 ect 19x15x6,,,,
5637,caja botella micro kraft  12x12x35,,,,
5638,cubo micro kraft  60x60x60,,,,
5639,cubo micro kraft  12x12x12,,,,
5640,lonchera six micro kraft  18.5x12.5x19,,,,
5703,parasol no. 3                                            ,,,,
5801,pizza 0 bond 20x20x3,,,,
5802,pizza 0 kraft 20x20x3,,,,
5803,pizza 1 bond 25x25x3,,,,
5804,pizza 1 kraft 25x25x3,,,,
5807,pizza 3 bond 32x32x3,,,,
5808,pizza 3 kraft 32x32x3,,,,
5809,pizza 4 bond 34x34x3,,,,
5810,pizza 4 kraft 34x34x3,,,,
5811,pizza 4a bond 38x38x3,,,,
5812,pizza 4a kraft 38x38x3,,,,
5813,pizza 5 bond 41x41x4,,,,
5814,pizza 5 kraft 41x41x4,,,,
5815,pizza 5a bond 44x44x4,,,,
5816,pizza 5a kraft 44x44x4,,,,
5818,pizza 30cm bond 30x30x4,,,,
5819,pizza 30cm kraft 30x30x4,,,,
5820,pizza 36cm bond 36x36x4,,,,
5821,pizza 36cm kraft 36x36x4,,,,
5901,caja single no. 3 20x14x5,,,,
5902,caja single no. 6 25x20x6,,,,
5903,caja single no. 13 36x23x5,,,,
5904,pastelera mediana single 30x30x12,,,,
5905,almohada grande single  31x24x6,,,,
5906,cofre mini single 7x4.5x6,,,,
5907,cofre mediano single 13x8x11,,,,
5908,cofre grande single 20x12x16,,,,
5909,lonchera chica single 14x11x10,,,,
5910,caja p/botella single 11x11x25,,,,
5911,bolsa single chica 9.6x6x12,,,,
5913,cubo single 10x10x10,,,,
5914,sobre single t/carta 28.5x21.5x1.5,,,,
5916,bolo single tipo alcancia 15x8x16,,,,
5917,bolsa single mediana 18.5x11.5x16,,,,
5918,bolsa single grande 18.5x11.5x24,,,,
5920,almohada mini single 8x7x2.5,,,,
5921,caja para cd single 15.5x13x3,,,,
5922,caja single no.11 39.5x24.5x9,,,,
5923,caja single no.15 45x29x8.5,,,,
5924,lonchera mediana single 17x12x14,,,,
5929,cubo sorpresa single 15x15x23,,,,
5930,almohada chica single 26x24x6,,,,
5931,centro de mesa single mediano 14x8.5x7,,,,
5932,centro de mesa single grande 20x12.5x12.5,,,,
5933,centro de mesa single mini 8x5x4.5,,,,
5934,cofre corrugado 30x20x15,,,,
5935,dulcero grande single 14x8x20,,,,
5936,dulcero chica single  11x9x13,,,,
5937,centro de mesa plano grande single 19x19x7.5,,,,
5938,centro de mesa plano chico single 15x15x7.5,,,,
5939,cofre corrugado jumbo 40x30x20,,,,
5940,cubo single ho 9.5x8.5x12,,,,
5941,almohada jumbo single 35x30x10,,,,
6001,caja joyería # 32 8x5.5x2.5,,,,
6002,caja pulsera # 33  9x9x2.5,,,,
6005,caja reloj # 82 20.5x5x2,,,,
6006,caja collar # 75 18x13x2.5,,,,
6007,papel regalo disney ,,,,
6008,papel regalo couche ,,,,
6009,papel regalo kraft ,,,,
6010,papel de china ,,,,
6011,moño mágico mediano ,,,,
6012,moño magico chico  ,,,,
6013,moño magico gde  ,,,,
6014,cinta celofan transparente  12x33,,,,
6015,cinta diurex 12x10,,,,
6017,papel regalo metalico ,,,,
6019,papel de china picado  ,,,,
6020,moño chico decorado ,,,,
6021,moño mediano decorado ,,,,
6022,cilindro chico  de acetato 21x24,,,,
6024,moño grande decorado ,,,,
6029,portaretrato single s/decorar 20x15,,,,
6030,portaretrato single decorado 20x15,,,,
6031,cofre corrugado gde. decorado 30x20x15,,,,
6032,cofre mediano single decorado 13x8x11,,,,
6033,cofre grande dec single  20x12x16,,,,
6037,bolsa papel kraft mini-mini  6x3.5x8,,,,
6043,bolsa kraft natural para botella c/ojillo 10x10x33,,,,
