sat_key,former_code,unique_code,description,pieces_per_package,number_of_pieces,accesories_kit,supplier,exterior_color_or_design,product_type,line,classification,main_material,resistance_main_material,design_type,impression,warehouse,rack,level,wholesale,retail,sat_unit_key,wholesale_unit,only_measure,outer_length,inner_length,price,child,parent,factor,average,stores_discount,retails_discount,discount_when_armed
14121500,1802,1802FL,Pc archivo 80 decorada flores lila,1,1,,Comercializadora de Cartón y Diseño,Flores Lila,,hogar,de línea,Corrugado,55 ECT,Tapa integrada,,Corrugado,,,,,H87,,78 x 40 x 30,,,128.02,,,,,35,35,
14121500,1802,1802R,Pc archivo 80 decorada rayas,1,1,,Comercializadora de Cartón y Diseño,Rayas,,hogar,de línea,Corrugado,55 ECT,Tapa integrada,,Corrugado,,,,,H87,,78 x 40 x 30,,,128.02,,,,,35,35,
14121500,1803,1803C,Pc archivo 50 decorada cuadros,1,1,,Comercializadora de Cartón y Diseño,Cuadros,,hogar,de línea,Corrugado,55 ECT,Tapa integrada,,Corrugado,,,,,H87,,50 x 35 x 25,,,89.22,,,,,35,35,
14121500,1803,1803FL,Pc archivo 50 decorada flores lila,1,1,,Comercializadora de Cartón y Diseño,Flores Lila,,hogar,de línea,Corrugado,55 ECT,Tapa integrada,,Corrugado,,,,,H87,,50 x 35 x 25,,,89.22,,,,,35,35,
14121500,1803,1803R,Pc archivo 50 decorada rayas,1,1,,Comercializadora de Cartón y Diseño,Rayas,,hogar,de línea,Corrugado,55 ECT,Tapa integrada,,Corrugado,,,,,H87,,50 x 35 x 25,,,89.22,,,,,35,35,
14121500,1804,1804C,Pc archivo 30 decorada cuadros,1,1,,Comercializadora de Cartón y Diseño,Cuadros,,hogar,de línea,Corrugado,55 ECT,Tapa integrada,,Corrugado,,,,,H87,,38 x 30 x 25,,,79.31,,,,,35,35,
14121500,1804,1804FL,Pc archivo 30 decorada flores lila,1,1,,Comercializadora de Cartón y Diseño,Flores Lila,,hogar,de línea,Corrugado,55 ECT,Tapa integrada,,Corrugado,,,,,H87,,38 x 30 x 25,,,79.31,,,,,35,35,
14121500,1804,1804R,Pc archivo 30 decorada rayas,1,1,,Comercializadora de Cartón y Diseño,Rayas,,hogar,de línea,Corrugado,55 ECT,Tapa integrada,,Corrugado,,,,,H87,,38 x 30 x 25,,,79.31,,,,,35,35,
14121500,1805,1805C,Lh 00 neceser impreso cuadros,1,1,,Comercializadora de Cartón y Diseño,Cuadros,,hogar,de línea,Corrugado,44 ECT,Tapa integrada,,Corrugado,,,,,H87,,25 x 17 x 12.5,,,33.19,,,,,35,35,
14121500,1805,1805FL,Lh 00 neceser impreso flores lila,1,1,,Comercializadora de Cartón y Diseño,Flores Lila,,hogar,de línea,Corrugado,44 ECT,Tapa integrada,,Corrugado,,,,,H87,,25 x 17 x 12.5,,,33.19,,,,,35,35,
14121500,1805,1805R,Lh 00 neceser impreso rayas,1,1,,Comercializadora de Cartón y Diseño,Rayas,,hogar,de línea,Corrugado,44 ECT,Tapa integrada,,Corrugado,,,,,H87,,25 x 17 x 12.5,,,33.19,,,,,35,35,
14121500,1806,1806,Pc archivo 55 decorada madera,1,1,,Comercializadora de Cartón y Diseño,Madera,,hogar,de línea,Corrugado,44 ECT,Tapa integrada,,Corrugado,,,,,H87,,50 x 35 x 29,,,96.12,,,,,35,35,
14121500,1807,1807,Pc archivo decorada hojas,1,1,,Comercializadora de Cartón y Diseño,Hojas,,hogar,de línea,Corrugado,44 ECT,Tapa integrada,,Corrugado,,,,,H87,,65 x 38 x 30,,,100,,,,,35,35,
14121500,1905,1905C,Ecoburo combo gde. 4 caj. Cuadros,1,8,,Comercializadora de Cartón y Diseño,Cuadros,,hogar,de línea,Corrugado,44 ECT,Cajonera,,Corrugado,,,,,H87,,38 x 33 x 63,,,232.33,,,,,35,35,
14121500,1905,1905FL,Ecoburo combo gde. 4 caj. Flores lila,1,8,,Comercializadora de Cartón y Diseño,Flores Lila,,hogar,de línea,Corrugado,44 ECT,Cajonera,,Corrugado,,,,,H87,,38 x 33 x 63,,,232.33,,,,,35,35,
14121500,1905,1905FM,Ecoburo combo gde. 4 caj. Flores moradas,1,8,,Comercializadora de Cartón y Diseño,Flores Moradas,,hogar,de línea,Corrugado,44 ECT,Cajonera,,Corrugado,,,,,H87,,38 x 33 x 63,,,232.33,,,,,35,35,
14121500,1905,1905R,Ecoburo combo gde. 4 caj. Rayas,1,8,,Comercializadora de Cartón y Diseño,Rayas,,hogar,de línea,Corrugado,44 ECT,Cajonera,,Corrugado,,,,,H87,,38 x 33 x 63,,,232.33,,,,,35,35,
14121500,1906,1906C,Ecoburo combo 3 cajones cuadros,1,6,,Comercializadora de Cartón y Diseño,Cuadros,,hogar,de línea,Corrugado,44 ECT,Cajonera,,Corrugado,,,,,H87,,38 x 34 x 49,,,183.62,,,,,35,35,
