cod,desc,price,bu,line,class,type,sat_key,unit,color
4206,Codigo es servicio de empaque ,0,Diseños de Cartón,oficina,de línea,bolsa,14121500,Pieza,kraft
4207,Lamina de corrugado 29 ect 74 x 121 mt,17.22136,Diseños de Cartón,oficina,de línea,bolsa,14121500,Pieza,kraft
4208,Lamina de corrugado 29 ect 1.00 x 1.50 mt,28.59922,Diseños de Cartón,oficina,de línea,bolsa,14121500,Pieza,kraft
4209,Lamina doble corrugado 1.95x2.10mt,154.69818,Diseños de Cartón,oficina,de línea,bolsa,14121500,Pieza,kraft
4211,Lamina micro bond y kraft .80 x 1.60 mt,22.74818,Diseños de Cartón,oficina,de línea,bolsa,14121500,Pieza,kraft
4212,Lámina micro bond y kraft .60 x 90 mt,11.70208,Diseños de Cartón,oficina,de línea,bolsa,14121500,Pieza,kraft
4213,Lámina caple .60 x 1.25 mt,10.39766,Diseños de Cartón,oficina,de línea,bolsa,14121500,Pieza,kraft
4217,Separador p/12 botellas 29 ect ,12.99896,Diseños de Cartón,oficina,de línea,bolsa,14121500,Pieza,kraft
4301,Rollo papelkraft (precio x kilo) 1.25,26.32214,Diseños de Cartón,oficina,de línea,bolsa,14121500,Pieza,kraft
4302,Rollo papelkraft(precio x kilo) 90,26.32214,Diseños de Cartón,alimentos y regalos,de línea,bolsa,14121500,Pieza,blanco
4303,Rollo papelkraft(precio x kilo) 60,26.32214,Diseños de Cartón,alimentos y regalos,de línea,bolsa,14121500,Pieza,blanco
4304,Rollo papelkraft(precio x kilo) 1,26.32214,Diseños de Cartón,alimentos y regalos,de línea,bolsa,14121500,Pieza,blanco
4305,Papelkraft 1.25 x metro (180 mts aprox) ,5.52682,Diseños de Cartón,alimentos y regalos,de línea,bolsa,31201500,Pieza,blanco
4401,Cinta plástica chica  48 x 50 mts,11.37786,Diseños de Cartón,alimentos y regalos,de línea,bolsa,31201500,Pieza,blanco
4402,Cinta plástica mediana 48 x 100 mts,20.80286,Diseños de Cartón,alimentos y regalos,de línea,bolsa,31201500,Pieza,blanco
4403,Cinta plástica grande 48 x 150 mts,30.8763,Diseños de Cartón,alimentos y regalos,de línea,bolsa,21201500,Pieza,blanco
4404,"Despachador de cinta 2"" 2""",142.02344,Diseños de Cartón,alimentos y regalos,de línea,bolsa,21201500,Pieza,blanco
4405,"Engomado 3""",29.90364,Diseños de Cartón,alimentos y regalos,de línea,bolsa,21201500,Pieza,blanco
4406,"Engomado  2.5""",25.02526,Diseños de Cartón,alimentos y regalos,de línea,bolsa,21201500,Pieza,blanco
4407,"Engomado  2""",20.14688,Diseños de Cartón,alimentos y regalos,de línea,bolsa,21201500,Pieza,blanco
4408,"Engomado  1""",10.07344,Diseños de Cartón,alimentos y regalos,de línea,bolsa,31201500,Pieza,blanco
4412,Cinta impresa fragil  ,52.65182,Diseños de Cartón,alimentos y regalos,de línea,bolsa,31411500,Pieza,blanco
4502,Millar de sellos 1/2 ,174.19662,Diseños de Cartón,alimentos y regalos,de línea,bolsa,27112100,Pieza,blanco
4503,Flejadora ,1376.69844,Diseños de Cartón,alimentos y regalos,de línea,bolsa,27112100,Pieza,blanco
4504,Pinzas para flejar ,879.1263,Diseños de Cartón,alimentos y regalos,de línea,bolsa,24141500,Pieza,blanco
4507,Fleje 1/2 negro precio x kilo ,34.77448,Diseños de Cartón,alimentos y regalos,de línea,bolsa,27111500,Pieza,blanco
4601,Cutter grande  ,6.17526,Diseños de Cartón,alimentos y regalos,de línea,bolsa,27111500,Pieza,blanco
4603,Cutter chico ,3.89818,Diseños de Cartón,alimentos y regalos,de línea,bolsa,44121700,Pieza,blanco
4604,Marcador de aceite ,25.99792,Diseños de Cartón,alimentos y regalos,de línea,bolsa,31201600,Pieza,blanco
4605,Silicato de sodio galón ,84.825,Diseños de Cartón,alimentos y regalos,de línea,bolsa,24141500,Pieza,blanco
4606,Bola rafia 1 kg aprox ,61.42838,Diseños de Cartón,alimentos y regalos,de línea,bolsa,24141500,Pieza,blanco
4609,Rollo de blister 18¨x1200 pies calibre 50,113.1,Diseños de Cartón,alimentos y regalos,de línea,bolsa,31201500,Pieza,blanco
4612,"Etiqueta fragil, hecho en mexico, copa, arriba ",2.6013,Diseños de Cartón,alimentos y regalos,de línea,bolsa,24112500,Pieza,blanco
4613,Esquineros 2¨x2¨x1.00,5.52682,Diseños de Cartón,alimentos y regalos,de línea,bolsa,24141500,Pieza,blanco
4615,Bola papel arroz 200 mts. Aprox. ,272.35234,Diseños de Cartón,alimentos y regalos,de línea,bolsa,24141500,Pieza,blanco
4618,Etiqueta remitente-destinatario (jgo) ,5.85104,Diseños de Cartón,alimentos y regalos,de línea,bolsa,31201500,Pieza,blanco
4619,Cinta masking tape  18x50,21.77552,Diseños de Cartón,alimentos y regalos,de línea,bolsa,31201500,Pieza,blanco
4620,Cinta masking tape  24x50,28.92344,Diseños de Cartón,alimentos y regalos,de línea,bolsa,31201500,Pieza,blanco
4625,"Blister 5"" x 1500 pies calibre 80 ",72.47448,Diseños de Cartón,alimentos y regalos,de línea,bolsa,14121500,Pieza,blanco
4702,Le e7 estantera 44 ect  46x16x13 cm,27.95078,Diseños de Cartón,alimentos y regalos,de línea,bolsa,14121500,Pieza,blanco
4703,Le e6 estantera 44 ect 32x11x11 cm,17.22136,Diseños de Cartón,alimentos y regalos,de línea,bolsa,14121500,Pieza,blanco
